Customer ID,Gender,Age,Order Count,Avg Order Value (Rp),Favorite Food,Favorite Drink,Visit Frequency (per month),Stay Duration (minutes),Payment Method,Customer Rating,Work Type,Referral Count,Time of Visit,Preferred Ordering Method,Holiday Visits,Repeat Order Due to Stay Duration
Customer096,Male,38.0,40.0,43624.0,Burgers & Sandwiches,Classic Coffee,1.0,61,Debit Card,3.9,Retired,13,Morning,Delivery,y,True
Customer097,Female,34.0,33.0,99389.0,Spaghetti,Classic Coffee,13.0,57,Cash,1.5,Student,1,Evening,Delivery,y,False
Customer098,Female,25.0,39.0,99555.0,Rice Bowl,Kopi Susu Lokal,20.0,48,Credit Card,3.0,Entrepreneur,14,Night,Delivery,y,False
Customer099,Female,43.0,28.0,82454.0,Salad & Soup,Smoothies,3.0,45,Credit Card,4.7,Student,9,Morning,Delivery,y,False
Customer100,Male,40.0,27.0,20350.0,Burgers & Sandwiches,Others,26.0,71,Cash,4.2,Retired,2,Night,Dine-in,y,False
Customer101,Female,23.0,41.0,141862.0,Rice Bowl,Smoothies,28.0,26,Cash,1.1,Retired,3,Afternoon,Delivery,y,True
Customer102,Male,36.0,5.0,124594.0,Western Food,Mocktail,27.0,59,E-Wallet,4.3,Employee,8,Night,Delivery,y,True
Customer103,Female,46.0,44.0,115218.0,Snacks,Smoothies,20.0,101,Debit Card,3.5,Entrepreneur,20,Morning,Dine-in,y,True
Customer104,Female,24.0,14.0,72632.0,Snacks,Yakult,7.0,97,Cash,2.3,Employee,8,Night,Dine-in,y,True
Customer105,Female,39.0,26.0,140235.0,Rice Bowl,Juices,19.0,88,Cash,4.9,Retired,9,Morning,Takeaway,y,True
Customer106,Female,37.0,33.0,97041.0,Rice Bowl,Barista Drinks,2.0,65,Cash,1.4,Entrepreneur,0,Night,Dine-in,y,False
Customer107,Male,18.0,26.0,88410.0,Spaghetti,Others,23.0,37,Cash,2.5,Retired,18,Night,Takeaway,y,False
Customer108,Female,35.0,2.0,142507.0,Asian Delight,Frappe,13.0,84,Debit Card,1.5,Student,0,Afternoon,Takeaway,y,False
Customer109,Female,50.0,34.0,104674.0,Snacks,Others,4.0,101,Cash,1.9,Employee,5,Night,Delivery,y,True
Customer110,Female,56.0,24.0,124091.0,Rice Bowl,Smoothies,21.0,81,Debit Card,4.6,Retired,7,Night,Dine-in,y,False
Customer111,Male,25.0,18.0,102652.0,Salad & Soup,Juices,25.0,119,Credit Card,4.2,Student,17,Evening,Takeaway,y,True
Customer112,Male,42.0,2.0,126930.0,Western Food,Juices,19.0,50,Credit Card,2.8,Retired,15,Morning,Takeaway,y,False
Customer113,Male,38.0,11.0,149960.0,Salad & Soup,Mocktail,29.0,54,Cash,2.6,Student,3,Evening,Dine-in,y,True
Customer114,Male,19.0,12.0,104850.0,Spaghetti,Mocktail,15.0,23,Debit Card,1.1,Entrepreneur,0,Night,Delivery,y,False
Customer115,Female,56.0,47.0,99815.0,Asian Delight,Yakult,6.0,70,Credit Card,4.5,Retired,14,Morning,Dine-in,y,False
Customer116,Female,47.0,42.0,49561.0,Salad & Soup,Yakult,23.0,28,Cash,3.9,Freelancer,17,Morning,Delivery,y,False
Customer117,Female,59.0,1.0,69663.0,Salad & Soup,Others,8.0,38,Debit Card,3.3,Student,6,Evening,Delivery,y,False
Customer118,Female,45.0,32.0,30979.0,Snacks,Manual Brew,10.0,115,Credit Card,3.7,Retired,16,Morning,Delivery,y,False
Customer119,Male,21.0,25.0,138577.0,Snacks,Barista Drinks,21.0,41,E-Wallet,3.8,Freelancer,17,Night,Dine-in,y,True
Customer120,Female,32.0,30.0,143453.0,Snacks,Mocktail,15.0,57,Credit Card,3.4,Freelancer,6,Night,Dine-in,y,True
Customer121,Female,33.0,47.0,117135.0,Pizza,Barista Drinks,2.0,97,E-Wallet,3.6,Entrepreneur,17,Afternoon,Delivery,y,True
Customer122,Female,44.0,30.0,125893.0,Snacks,Classic Coffee,3.0,107,Debit Card,3.5,Student,19,Evening,Takeaway,y,True
Customer123,Female,33.0,37.0,26268.0,Western Food,Smoothies,23.0,103,Debit Card,2.3,Student,3,Afternoon,Takeaway,y,True
Customer124,Male,32.0,46.0,103906.0,Rice Bowl,Others,27.0,38,Credit Card,1.5,Employee,8,Night,Takeaway,y,False
Customer125,Female,51.0,40.0,136600.0,Western Food,Smoothies,17.0,30,Debit Card,3.5,Retired,8,Evening,Dine-in,y,False
Customer126,Female,34.0,28.0,33690.0,Rice Bowl,Others,15.0,76,Credit Card,3.0,Retired,15,Night,Takeaway,y,False
Customer127,Male,22.0,18.0,93660.0,Snacks,Manual Brew,16.0,110,Credit Card,3.4,Entrepreneur,2,Morning,Dine-in,y,True
Customer128,Male,21.0,39.0,67465.0,Asian Delight,Barista Drinks,7.0,37,Credit Card,4.0,Employee,20,Morning,Delivery,y,True
Customer129,Male,27.0,23.0,122169.0,Pizza,Smoothies,3.0,18,Credit Card,4.1,Student,0,Afternoon,Delivery,y,True
Customer130,Male,28.0,3.0,40759.0,Western Food,Yakult,27.0,35,Cash,3.6,Entrepreneur,12,Evening,Dine-in,y,False
Customer131,Female,38.0,41.0,53445.0,Western Food,Juices,14.0,31,Credit Card,1.5,Retired,10,Afternoon,Takeaway,y,False
Customer132,Female,28.0,19.0,37045.0,Western Food,Classic Coffee,24.0,78,Credit Card,3.1,Entrepreneur,15,Evening,Delivery,y,True
Customer133,Female,48.0,9.0,50870.0,Burgers & Sandwiches,Yakult,8.0,61,Credit Card,4.3,Employee,12,Evening,Dine-in,y,True
Customer134,Female,43.0,7.0,32220.0,Burgers & Sandwiches,Juices,28.0,96,Credit Card,3.8,Entrepreneur,10,Evening,Delivery,y,False
Customer135,Female,41.0,5.0,79793.0,Pizza,Manual Brew,23.0,11,E-Wallet,2.5,Retired,18,Night,Delivery,y,True
Customer136,Male,33.0,40.0,149423.0,Spaghetti,Mocktail,21.0,104,Debit Card,2.9,Employee,19,Night,Delivery,y,False
Customer137,Female,32.0,1.0,145714.0,Pizza,Frappe,25.0,32,E-Wallet,4.3,Freelancer,8,Morning,Delivery,y,False
Customer138,Female,41.0,11.0,124225.0,Rice Bowl,Barista Drinks,12.0,34,Cash,3.9,Freelancer,19,Evening,Dine-in,y,False
Customer139,Female,32.0,36.0,83822.0,Asian Delight,Others,23.0,52,E-Wallet,2.2,Entrepreneur,11,Morning,Delivery,y,False
Customer140,Female,29.0,27.0,86683.0,Rice Bowl,Mocktail,24.0,46,Cash,2.7,Freelancer,17,Afternoon,Takeaway,y,False
Customer141,Male,36.0,43.0,46217.0,Snacks,Mocktail,3.0,96,Credit Card,4.8,Retired,20,Night,Dine-in,y,True
Customer142,Female,30.0,12.0,105591.0,Rice Bowl,Others,29.0,115,Credit Card,3.9,Employee,19,Evening,Dine-in,y,True
Customer143,Male,45.0,9.0,73302.0,Rice Bowl,Juices,24.0,94,Credit Card,3.2,Employee,18,Evening,Dine-in,y,True
Customer144,Male,56.0,17.0,37216.0,Rice Bowl,Classic Coffee,18.0,33,Cash,4.2,Entrepreneur,13,Night,Delivery,y,False
Customer145,Female,52.0,3.0,87432.0,Asian Delight,Kopi Susu Lokal,18.0,70,Cash,2.9,Entrepreneur,4,Night,Takeaway,y,False
Customer146,Female,56.0,48.0,88495.0,Burgers & Sandwiches,Others,10.0,14,Cash,5.0,Entrepreneur,13,Night,Dine-in,y,False
Customer147,Male,33.0,22.0,127920.0,Asian Delight,Yakult,21.0,45,Cash,2.2,Student,3,Morning,Dine-in,y,False
Customer148,Male,31.0,45.0,106231.0,Pizza,Classic Coffee,19.0,77,Cash,2.1,Freelancer,17,Morning,Dine-in,y,True
Customer149,Male,55.0,20.0,97392.0,Snacks,Yakult,25.0,106,Credit Card,4.1,Student,17,Morning,Dine-in,y,True
Customer150,Male,48.0,16.0,95463.0,Rice Bowl,Classic Coffee,23.0,74,Cash,3.4,Entrepreneur,1,Afternoon,Dine-in,y,False
Customer151,Female,27.0,36.0,96797.0,Pizza,Frappe,12.0,110,Debit Card,3.2,Retired,9,Morning,Takeaway,y,False
Customer152,Male,39.0,30.0,141832.0,Rice Bowl,Barista Drinks,1.0,20,Credit Card,4.4,Freelancer,12,Afternoon,Takeaway,y,True
Customer153,Male,32.0,17.0,62429.0,Pizza,Others,8.0,66,Cash,1.6,Retired,11,Evening,Takeaway,y,False
Customer154,Male,39.0,3.0,133838.0,Rice Bowl,Barista Drinks,13.0,54,Cash,3.6,Freelancer,3,Morning,Delivery,y,False
Customer155,Female,50.0,3.0,142390.0,Western Food,Mocktail,5.0,99,E-Wallet,3.6,Entrepreneur,8,Morning,Dine-in,y,True
Customer156,Female,56.0,16.0,43596.0,Western Food,Others,30.0,95,Credit Card,1.0,Employee,15,Evening,Delivery,y,False
Customer157,Male,42.0,27.0,115145.0,Snacks,Others,8.0,44,Credit Card,5.0,Student,19,Morning,Takeaway,y,True
Customer158,Male,52.0,19.0,146386.0,Snacks,Smoothies,18.0,73,Credit Card,5.0,Freelancer,8,Evening,Delivery,y,False
Customer159,Female,32.0,6.0,81409.0,Salad & Soup,Frappe,30.0,22,E-Wallet,4.6,Retired,6,Evening,Delivery,y,False
Customer160,Female,26.0,6.0,49570.0,Asian Delight,Mocktail,29.0,54,Debit Card,4.6,Retired,15,Evening,Dine-in,y,True
Customer161,Female,25.0,46.0,140516.0,Snacks,Barista Drinks,5.0,117,Debit Card,4.3,Student,1,Afternoon,Dine-in,y,True
Customer162,Male,45.0,20.0,49665.0,Salad & Soup,Smoothies,21.0,96,Cash,1.1,Student,6,Evening,Delivery,y,True
Customer163,Female,39.0,4.0,106893.0,Burgers & Sandwiches,Barista Drinks,10.0,93,Credit Card,2.3,Freelancer,5,Afternoon,Dine-in,y,False
Customer164,Female,32.0,25.0,66006.0,Snacks,Others,24.0,63,E-Wallet,4.8,Employee,14,Morning,Takeaway,y,False
Customer165,Male,23.0,35.0,110837.0,Spaghetti,Barista Drinks,4.0,59,Credit Card,1.8,Entrepreneur,7,Morning,Dine-in,y,True
Customer166,Female,52.0,12.0,96873.0,Snacks,Kopi Susu Lokal,18.0,100,Cash,3.8,Student,1,Afternoon,Delivery,y,True
Customer167,Male,27.0,38.0,126869.0,Burgers & Sandwiches,Juices,12.0,11,Debit Card,3.3,Entrepreneur,14,Evening,Takeaway,y,False
Customer168,Female,52.0,26.0,68147.0,Pizza,Kopi Susu Lokal,8.0,32,E-Wallet,4.8,Student,19,Night,Takeaway,y,False
Customer169,Female,58.0,47.0,44431.0,Western Food,Kopi Susu Lokal,9.0,15,Debit Card,1.8,Freelancer,6,Afternoon,Dine-in,y,True
Customer170,Female,47.0,48.0,57741.0,Pizza,Manual Brew,14.0,60,Credit Card,2.2,Retired,14,Afternoon,Delivery,y,False
Customer171,Female,40.0,16.0,82714.0,Western Food,Classic Coffee,19.0,28,Cash,2.8,Entrepreneur,8,Night,Delivery,y,False
Customer172,Male,42.0,21.0,104814.0,Snacks,Others,20.0,61,Cash,1.5,Employee,16,Morning,Delivery,y,True
Customer173,Male,27.0,13.0,45877.0,Salad & Soup,Manual Brew,27.0,106,Cash,4.1,Student,0,Morning,Takeaway,y,False
Customer174,Female,39.0,9.0,119940.0,Western Food,Kopi Susu Lokal,25.0,58,Credit Card,1.5,Freelancer,10,Afternoon,Dine-in,y,True
Customer175,Male,39.0,25.0,26340.0,Rice Bowl,Mocktail,26.0,20,E-Wallet,2.4,Student,13,Evening,Takeaway,y,False
Customer176,Male,25.0,48.0,104913.0,Spaghetti,Smoothies,29.0,69,E-Wallet,3.0,Freelancer,3,Evening,Takeaway,y,False
Customer177,Female,52.0,23.0,140054.0,Pizza,Classic Coffee,3.0,65,Cash,2.0,Freelancer,10,Morning,Dine-in,y,False
Customer178,Male,29.0,33.0,52666.0,Rice Bowl,Barista Drinks,18.0,119,Cash,1.9,Student,13,Morning,Dine-in,y,False
Customer179,Male,41.0,11.0,36646.0,Pizza,Juices,14.0,29,Debit Card,1.5,Retired,9,Afternoon,Delivery,y,True
Customer180,Female,51.0,48.0,66018.0,Spaghetti,Yakult,26.0,42,Cash,4.3,Freelancer,4,Afternoon,Dine-in,y,False
Customer181,Female,32.0,35.0,112642.0,Spaghetti,Yakult,6.0,39,Cash,4.9,Entrepreneur,10,Evening,Delivery,y,True
Customer182,Female,51.0,47.0,149348.0,Spaghetti,Manual Brew,27.0,116,Cash,3.1,Student,15,Evening,Delivery,y,True
Customer183,Male,60.0,26.0,74857.0,Western Food,Yakult,5.0,86,Credit Card,4.1,Entrepreneur,13,Afternoon,Delivery,y,False
Customer184,Female,26.0,26.0,54485.0,Rice Bowl,Mocktail,23.0,70,Cash,2.9,Employee,12,Night,Dine-in,y,False
Customer185,Male,30.0,14.0,21353.0,Pizza,Frappe,2.0,53,E-Wallet,4.0,Entrepreneur,5,Evening,Delivery,y,False
Customer186,Female,23.0,27.0,128584.0,Asian Delight,Barista Drinks,30.0,21,Cash,1.3,Employee,15,Evening,Takeaway,y,True
Customer187,Female,38.0,14.0,38431.0,Western Food,Yakult,23.0,110,Debit Card,4.1,Student,7,Night,Delivery,y,True
Customer188,Male,58.0,2.0,81378.0,Salad & Soup,Juices,12.0,70,Cash,2.7,Employee,5,Night,Takeaway,y,True
Customer189,Male,29.0,4.0,68101.0,Asian Delight,Frappe,3.0,46,Cash,4.7,Employee,16,Afternoon,Delivery,y,False
Customer190,Male,46.0,33.0,112001.0,Snacks,Kopi Susu Lokal,30.0,64,Credit Card,2.0,Freelancer,2,Afternoon,Takeaway,y,False
Customer191,Male,43.0,8.0,118308.0,Salad & Soup,Mocktail,29.0,57,Debit Card,3.1,Retired,1,Night,Takeaway,y,True
Customer192,Female,41.0,29.0,64077.0,Western Food,Kopi Susu Lokal,5.0,81,Debit Card,3.0,Entrepreneur,14,Afternoon,Dine-in,y,False
Customer193,Male,23.0,44.0,73290.0,Western Food,Mocktail,17.0,118,Debit Card,3.6,Freelancer,9,Morning,Takeaway,y,True
Customer194,Male,60.0,13.0,104033.0,Western Food,Barista Drinks,23.0,56,Cash,4.2,Retired,16,Night,Dine-in,y,True
